987654321,20.000,15.000,ABCU1827364,MAXMINUS5,Light bulbs,1,1,1,Porto de Leix̵es,2021-12-02 09:30:00,2021-12-02 09:45:00
987654321,20.000,15.000,ABCU1827364,MAXMINUS5,Light bulbs,1,1,1,Alvalade Port,2021-12-05 17:02:44,2021-12-05 23:45:00
987654321,20.000,15.000,ABDU1827364,MAXMINUS5,Chocolate,4,4,4,Porto de Leix̵es,2021-12-02 09:30:00,2021-12-02 09:45:00
987654321,20.000,15.000,ABDU1827364,MAXMINUS5,Chocolate,4,4,4,Alvalade Port,2021-12-05 17:02:44,2021-12-05 23:45:00
987654321,20.000,15.000,JORU1234568,MAXMINUS5,Strawberries,12,12,12,Portonave,2021-12-03 20:00:44,2021-12-03 21:45:00
987654321,20.000,15.000,JORU1234568,MAXMINUS5,Strawberries,12,12,12,Alvalade Port,2021-12-05 17:02:44,2021-12-05 23:45:00
987654321,20.000,15.000,JORU1234569,Refrigerated,Melons,12,12,12,Porto de Aveiro,2021-12-21 07:30:00,2021-12-21 22:45:00
987654321,20.000,15.000,JORU1234569,Refrigerated,Melons,7,5,1,Portonave,2021-12-03 20:00:44,2021-12-03 21:45:00
987654321,20.000,15.000,JORU1234564,Refrigerated,Lemon,4,4,4,Fisgao Port,2021-12-19 18:30:00,2021-12-19 22:45:00
987654321,20.000,15.000,JORU1234564,Refrigerated,Lemon,4,4,4,Porto de Aveiro,2021-12-21 07:30:00,2021-12-21 22:45:00
987654321,20.000,15.000,JORU1234563,MAXMINUS5,Kiwi,3,3,1,Berlengas Port,2021-12-14 10:00:00,2021-12-14 10:55:00
987654321,20.000,15.000,JORU1234563,MAXMINUS5,Kiwi,3,3,1,Porto de Aveiro,2021-12-21 07:30:00,2021-12-21 22:45:00
987654321,20.000,15.000,JORU1234553,MAXMINUS5,Cherries,8,5,8,Fisgao Port,2021-12-19 18:30:00,2021-12-19 22:45:00
987654321,20.000,15.000,JORU1234553,MAXMINUS5,Cherries,8,5,8,Porto de Aveiro,2021-12-21 07:30:00,2021-12-21 22:45:00
987654321,20.000,15.000,JORU1234513,Refrigerated,Figs,7,5,1,Berlengas Port,2021-12-14 10:00:00,2021-12-14 10:55:00
987654321,20.000,15.000,JORU1234513,Refrigerated,Figs,7,5,1,Porto de Aveiro,2021-12-21 07:30:00,2021-12-21 22:45:00
